COUNTY,LowerRangeOccupation,UpperRangeIndustry,county_cpt,low_supply,med_supply,hi_supply,LsupplyUpper,LsupplyLower,MsupplyUpper,MsupplyLower,HsupplyUpper,HsupplyLower
PRESIDIO,324.946729140344,319.697005007254,0,0,0,0,0,0,0,0,0,0
RAINS,436.952915904006,457.405013219443,103,26,39,53,6,6,9,9,13,12
RANDALL,7807.51146260026,8164.03493623001,3502,1172,1500,1828,16,15,20,19,24,23
REAGAN,243.492286780384,247.046567164179,0,0,0,0,0,0,0,0,0,0
REAL,123.061974033638,122.727441723222,0,0,0,0,0,0,0,0,0,0
RED RIVER,460.173676985743,483.708620162933,36,9,14,18,2,2,4,3,4,4
REEVES,553.777710192838,562.966948209366,12,2,4,5,1,1,1,1,1,1
REFUGIO,339.363275290216,339.409060945273,57,25,32,38,8,8,10,10,12,12
ROBERTS,60.7965442561205,62.6580781544256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ROBERTSON,828.167416173278,861.214472567594,230,110,127,145,14,13,16,15,18,17
ROCKWALL,5657.03471152859,6001.03522142855,3935,1147,1491,1835,21,20,27,25,33,31
RUNNELS,487.123470740381,500.612609925639,130,78,90,101,17,16,19,18,21,21
RUSK,2209.08879932829,2306.88421550518,679,211,286,362,10,10,13,13,17,16
SABINE,303.05924109135,311.536949066106,191,49,63,77,17,16,21,21,26,25
SAN AUGUSTINE,242.0603122373,249.267045754774,68,10,16,21,5,5,7,7,9,9
SAN JACINTO,1070.50879992092,1100.97685772314,159,58,70,81,6,6,7,7,8,8
SAN PATRICIO,3650.33415510592,3784.07820922967,1106,433,572,711,12,12,16,16,20,19
SAN SABA,240.218936598457,243.903887118417,48,22,24,27,10,10,10,10,12,12
SCHLEICHER,193.515815637591,198.128798322988,12,4,5,5,3,3,3,3,3,3
SCURRY,807.379527186418,810.859692944293,203,56,77,98,7,7,10,10,13,13
SHACKELFORD,171.551994362227,172.475461592671,86,71,71,71,42,42,42,42,42,42
SHELBY,1222.73569039956,1255.09081933433,68,38,40,42,4,4,4,4,4,4
SHERMAN,179.697757248746,181.938854371049,63,15,21,26,9,9,12,12,15,15
SMITH,11553.0159299434,12068.1509122647,5904,2295,2824,3352,20,20,25,24,30,28
SOMERVELL,400.170595524038,418.439383411491,272,114,141,169,29,28,36,34,43,41
STARR,3485.01267047767,3550.97454565374,426,180,243,307,6,6,7,7,9,9
STEPHENS,402.308102326078,409.81179470764,259,81,110,138,21,20,28,27,35,34
STERLING,70.6419829097283,72.7935626643295,0,0,0,0,0,0,0,0,0,0
STONEWALL,47.127706377858,48.3202334536703,34,25,26,26,54,52,56,54,56,54
SUTTON,215.125765847348,218.42280465718,60,33,37,41,16,16,18,17,20,19
SWISHER,333.10401077855,337.534763050062,120,15,23,30,5,5,7,7,10,9
TARRANT,129793.716705799,137078.529144923,54852,19021,24343,29664,15,14,19,18,23,22
TAYLOR,7500.1401573731,7775.17221420614,4466,1483,1881,2280,20,20,26,25,31,30
TERRELL,16.68530645785,17.2860286156226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
TERRY,607.687584885718,617.074017703792,132,76,88,99,13,13,15,15,17,17
THROCKMORTON,62.8813677940864,63.6096000850883,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
TITUS,1977.51486938588,2093.93060219982,540,202,246,291,11,10,13,12,15,14
TOM GREEN,6080.15306068388,6331.92795026751,2559,1004,1225,1445,17,16,21,20,24,23
TRAVIS,71643.9410386218,77214.4276503686,24579,7937,10368,12799,12,11,15,14,18,17
TRINITY,481.647553595534,500.363216990413,68,37,47,57,8,8,10,10,12,12
TYLER,621.581806576417,630.850924202952,243,64,95,126,11,11,16,16,21,20
UPSHUR,1930.38641621085,2019.18251858029,628,283,325,368,15,15,17,17,20,19
UPTON,195.200902586681,199.960748486516,0,0,0,0,0,0,0,0,0,0
UVALDE,1538.77043059721,1556.36589377615,423,134,177,221,9,9,12,12,15,15
VAL VERDE,2601.99360556428,2677.47909315275,1050,427,525,622,17,16,21,20,24,24
VAN ZANDT,2503.89520054689,2578.52369616931,1185,423,565,707,17,17,23,22,29,28
VICTORIA,5283.86497821481,5501.49012679959,2430,894,1140,1385,17,17,22,21,27,26
WALKER,1765.21265253633,1832.85738577309,1155,353,469,586,20,20,27,26,34,32
WALLER,2540.98041480785,2642.35468761878,991,443,534,625,18,17,22,21,25,24
WARD,636.665556130963,647.725654525577,118,50,59,68,8,8,10,10,11,11
WASHINGTON,1569.65198722554,1647.21810998391,1209,586,686,786,38,36,44,42,51,48
WEBB,17463.4353529744,18036.9567848,4550,1641,2193,2745,10,10,13,13,16,16
WHARTON,2355.99716625352,2422.83478544439,799,261,338,416,12,11,15,14,18,18
WHEELER,317.524249057522,322.133676273866,80,20,24,28,7,7,8,8,9,9
WICHITA,5942.61826033842,6204.84403784024,3830,1535,1948,2360,26,25,33,32,40,39
WILBARGER,686.357644571,716.266105751847,227,104,127,150,16,15,19,18,22,21
WILLACY,773.394986286047,781.498242928504,230,56,85,115,8,8,11,11,15,15
WILLIAMSON,34880.8313454096,37247.1674724584,23580,7526,9530,11534,22,21,28,26,34,31
WILSON,2447.81429915833,2553.12122760972,1468,461,602,744,19,19,25,24,31,30
WINKLER,476.563704178416,484.471026659831,98,43,49,54,10,9,11,11,12,12
WISE,3270.43609040334,3387.20141380572,892,361,460,559,12,11,15,14,18,17
WOOD,1480.37681433299,1542.49609266233,767,351,438,525,24,23,30,29,36,35
YOAKUM,592.753338680823,600.664386983238,71,45,50,56,8,8,9,9,10,10
YOUNG,954.239910014353,983.513808656288,285,104,136,168,11,11,15,14,18,18
ZAPATA,845.284340130373,846.432606363236,157,39,53,68,5,5,7,7,9,9
ZAVALA,640.622835984942,647.649426538071,38,19,25,30,3,3,4,4,5,5
