COUNTY,LowerRangeOccupation,UpperRangeIndustry,county_cpt,low_supply,med_supply,hi_supply,LsupplyUpper,LsupplyLower,MsupplyUpper,MsupplyLower,HsupplyUpper,HsupplyLower
CALHOUN,558.026241,941.6087466,546,81,179,277,15,9,33,20,50,30
CALLAHAN,297.9054636,423.9071084,97,42,50,58,15,10,17,12,20,14
CAMERON,14696.97468,19747.54224,9601,1842,4157,6472,13,10,29,22,45,33
CAMP,355.0800601,547.0266454,123,26,53,80,8,5,15,10,23,15
CARSON,176.7666487,262.9774066,0,0,0,0,0,0,0,0,0,0
CASS,728.486688,1058.630316,360,90,142,195,13,9,20,14,27,19
CASTRO,262.0945117,301.5521564,12,-9999,7,-9999,-9999,-9999,3,3,-9999,-9999
CHAMBERS,903.9495594,1756.703018,704,52,239,425,6,3,27,14,48,25
CHEROKEE,1359.300817,2042.799962,891,185,343,500,14,10,26,17,37,25
CHILDRESS,131.1895078,175.5997278,29,6,20,29,5,4,16,12,23,17
CLAY,242.0889967,331.7501742,110,22,57,93,10,7,24,18,39,29
COLEMAN,169.9919013,256.5994798,134,56,74,92,33,22,44,29,55,36
COLLIN,29199.51793,53281.89583,39409,3384,10599,17814,12,7,37,20,62,34
COLLINGSWORTH,99.10005007,119.4345928,65,30,41,53,31,26,42,35,54,45
COLORADO,569.1816441,830.6415726,415,113,212,311,20,14,38,26,55,38
COMAL,3215.306672,5133.100934,3646,518,1186,1854,17,11,37,24,58,37
COMANCHE,319.9201661,433.0243092,130,67,82,97,21,16,26,19,31,23
CONCHO,28.98710292,37.51044098,65,-9999,29,-9999,-9999,-9999,101,78,-9999,-9999
COOKE,1086.06395,1743.333884,1012,343,532,720,32,20,49,31,67,42
CORYELL,1526.429013,2213.21373,1479,243,590,937,16,11,39,27,62,43
COTTLE,59.76219347,61.75207589,0,0,0,0,0,0,0,0,0,0
CRANE,144.5962813,163.9692901,0,0,0,0,0,0,0,0,0,0
CROCKETT,105.5876961,100.1007157,0,0,0,0,0,0,0,0,0,0
CROSBY,190.673428,226.2008299,46,25,32,39,14,12,17,15,21,18
CULBERSON,73.15985423,79.04943626,0,0,0,0,0,0,0,0,0,0
DALLAM,314.478874,345.6684968,75,47,60,73,15,14,20,18,24,22
DALLAS,75304.40977,130672.5333,55636,6292,18200,30108,9,5,25,14,40,24
DAWSON,315.3405742,400.9106174,42,24,27,31,8,6,9,7,10,8
DELTA,121.1878364,177.9574113,46,23,25,28,19,13,21,15,24,16
DENTON,25343.78589,44657.70042,30492,3642,9672,15703,15,9,39,22,62,36
DEWITT,425.4404005,604.8983974,393,93,138,184,22,16,33,23,44,31
DIMMIT,269.6158914,383.9413392,96,34,54,75,13,9,21,15,28,20
DONLEY,77.97654857,98.22438441,48,24,26,29,31,25,34,27,38,30
DUVAL,299.0530934,342.617492,54,32,32,33,11,10,11,10,12,10
EASTLAND,399.6983095,530.7860278,257,88,118,148,23,17,30,23,38,28
ECTOR,5165.929979,6918.239786,3598,691,1225,1759,14,10,24,18,35,26
EDWARDS,42.43925385,41.79534793,0,0,0,0,0,0,0,0,0,0
EL PASO,27300.35037,40912.60348,16049,3220,6830,10439,12,8,26,17,39,26
ELLIS,4851.388144,8322.934146,5256,810,2081,3351,17,10,43,26,70,41
ERATH,1014.837229,1521.084377,559,134,243,353,14,9,24,16,35,24
FALLS,314.5929736,469.4532185,139,50,78,107,16,11,25,17,35,23
FANNIN,734.5461926,1131.023861,444,89,179,268,13,8,25,16,37,24
FAYETTE,572.5828079,864.9919438,438,117,218,318,21,14,39,26,56,37
FISHER,100.9338849,122.4985681,24,24,24,24,24,20,24,20,24,20
FLOYD,206.1788931,206.5080755,91,-9999,16,-9999,-9999,-9999,8,8,-9999,-9999
FOARD,25.9139027,36.66247751,0,0,0,0,0,0,0,0,0,0
FORT BEND,25110.41337,41622.10506,33316,3517,10290,17063,15,9,41,25,68,41
FRANKLIN,255.1867467,369.6364406,252,78,85,92,31,22,34,23,37,25
FREESTONE,436.2609223,606.1075767,129,59,69,80,14,10,16,12,19,14
FRIO,516.5278401,560.5630292,221,69,127,186,14,13,25,23,37,34
GAINES,703.2857148,773.5362344,166,34,64,94,5,5,10,9,14,13
GALVESTON,9647.840122,15176.70667,12860,1499,4137,6774,16,10,43,28,71,45
GARZA,99.28381481,146.5093109,0,0,0,0,0,0,0,0,0,0
GILLESPIE,620.4074901,812.5164649,339,70,150,230,12,9,25,19,38,29
GLASSCOCK,27.42921212,29.75424242,0,0,0,0,0,0,0,0,0,0
GOLIAD,151.6113132,241.1670606,168,39,61,82,26,17,41,26,55,35
GONZALES,593.1462683,885.9495911,144,32,48,65,6,4,9,6,11,8
GRAY,570.5184241,798.4545272,397,0,41,89,0,0,8,6,16,12
GRAYSON,3377.594606,5207.553324,2703,559,1235,1910,17,11,37,24,57,37
GREGG,3481.891794,5466.254792,3632,591,1427,2263,17,11,41,27,65,42
GRIMES,562.325257,853.4344263,358,150,219,287,27,18,39,26,52,34
GUADALUPE,4291.44797,7089.515037,3953,761,1513,2265,18,11,36,22,53,32
HALE,1112.094729,1443.734096,419,104,216,328,10,8,20,15,30,23
HALL,78.94027977,88.28568966,12,-9999,5,-9999,-9999,-9999,7,6,-9999,-9999
HAMILTON,210.8153945,256.2359623,157,50,85,120,24,20,41,34,57,47
HANSFORD,189.7993282,206.7693884,72,16,26,36,9,8,14,13,19,18
HARDEMAN,116.2310855,130.8389803,12,-9999,10,-9999,-9999,-9999,9,8,-9999,-9999
HARDIN,1394.781399,2200.875516,1100,203,358,513,15,10,26,17,37,24
HARRIS,140177.1023,227087.5808,123476,12642,36415,60188,10,6,26,17,43,27
HARRISON,1742.255738,2679.349181,1687,206,639,1071,12,8,37,24,62,40
HARTLEY,127.6678371,150.3554708,162,53,77,102,42,36,61,52,80,68
HASKELL,121.2730404,122.6491292,94,22,29,36,19,18,24,24,30,30
HAYS,5507.599966,8939.507171,3242,426,1108,1789,8,5,21,13,33,21
HEMPHILL,149.6776336,183.3198473,98,-9999,16,-9999,-9999,-9999,11,9,-9999,-9999
HENDERSON,1759.224005,2488.59865,1631,325,571,816,19,14,33,23,47,33
HIDALGO,32214.74303,42903.81592,20882,3449,8279,13108,11,9,26,20,41,31
HILL,872.4718686,1285.410359,363,104,172,239,12,9,20,14,28,19
HOCKLEY,689.5721854,879.683861,250,68,141,214,10,8,21,17,32,25
HOOD,1144.706264,1811.924953,967,200,411,622,18,12,36,23,55,35
HOPKINS,1019.240369,1502.067511,667,72,280,488,8,5,28,19,48,33
HOUSTON,422.7772909,548.4909276,330,89,194,299,22,17,46,36,71,55
HOWARD,818.294175,1090.039443,599,135,222,310,17,13,28,21,38,29
HUDSPETH,86.46443387,96.39456646,0,0,0,0,0,0,0,0,0,0
HUNT,2252.295713,3669.718374,2136,327,795,1263,15,9,36,22,57,35
HUTCHINSON,490.3156828,822.9027024,255,53,140,228,11,7,29,18,47,28
IRION,35.11236877,47.84139326,0,0,0,0,0,0,0,0,0,0
JACK,140.3390138,205.4307651,165,49,106,163,35,24,76,52,117,80
JACKSON,389.5894737,645.9804152,444,169,255,342,44,27,66,40,88,53
JASPER,806.8471384,1089.209555,219,99,161,219,13,10,20,15,28,21
JEFFERSON,6042.608701,9710.716553,5124,313,1724,3135,6,4,29,18,52,33
JIM HOGG,139.4961345,169.2586217,75,36,49,61,26,22,36,29,44,37
JIM WELLS,1199.391003,1431.010513,523,56,236,416,5,4,20,17,35,30
JOHNSON,4271.158391,7307.706977,3443,408,1139,1870,10,6,27,16,44,26
JONES,266.7414062,329.9851666,168,42,83,123,16,13,32,26,47,38
KARNES,284.9405469,410.9308744,140,24,75,125,9,6,27,19,44,31
KAUFMAN,3632.039116,5937.624413,3707,485,1371,2257,14,9,38,24,63,39
KENDALL,1009.693483,1612.689612,1127,162,387,612,17,11,39,24,61,38
KENT,17.13032043,22.70516244,0,0,0,0,0,0,0,0,0,0
KERR,1086.318723,1455.022237,946,171,420,669,16,12,39,29,62,46
KIMBLE,116.2516742,145.0174527,0,0,0,0,0,0,0,0,0,0
KINNEY,75.0903288,93.57425057,0,0,0,0,0,0,0,0,0,0
KLEBERG,927.9933376,1251.987673,239,99,142,186,11,8,16,12,21,15
KNOX,129.1684887,122.9136215,12,-9999,5,-9999,-9999,-9999,4,5,-9999,-9999
LA SALLE,119.2709805,215.2807896,0,0,0,0,0,0,0,0,0,0
LAMAR,1269.036369,2018.972487,1203,311,577,844,25,16,46,29,67,42
LAMB,437.3268143,524.4005748,124,31,43,56,8,6,10,9,13,11
LAMPASAS,477.0395916,698.6640954,201,66,111,156,14,10,24,16,33,23
LAVACA,490.4245925,722.5311034,659,200,329,458,41,28,68,46,94,64
LEE,427.1414666,597.0241679,539,81,176,271,19,14,42,30,64,46
LEON,381.0667654,486.1251025,147,60,77,94,16,13,21,16,25,20
LIBERTY,1687.279207,2765.020869,1221,86,431,776,6,4,26,16,46,29
LIMESTONE,530.0672741,786.0479715,274,21,91,162,4,3,18,12,31,21
LIVE OAK,229.926445,261.6889241,46,0,19,39,0,0,9,8,17,15
LLANO,270.0805216,371.0900598,227,54,91,129,20,15,34,25,48,35
LUBBOCK,9400.725294,14227.79425,9564,1755,3855,5955,19,13,42,28,64,42
LYNN,185.2506267,223.9931112,109,24,41,59,13,11,23,19,32,27
MADISON,245.3730063,348.3895869,237,73,139,205,30,21,57,40,84,59
MARION,190.6080003,264.1098871,164,23,58,93,13,9,31,22,49,36
MARTIN,220.0930489,222.3337157,70,34,37,41,16,16,17,17,19,19
MASON,136.1236061,127.1536139,77,-9999,34,-9999,-9999,-9999,25,27,-9999,-9999
MATAGORDA,1057.203581,1534.495266,480,71,113,155,7,5,11,8,15,11
MAVERICK,2024.0426,2500.02062,893,207,366,525,11,9,19,15,26,21
MCCULLOCH,227.1129538,276.4746987,0,0,0,0,0,0,0,0,0,0
MCLENNAN,7086.350642,11174.43314,5747,1028,2428,3827,15,10,35,22,55,35
MEDINA,1225.199738,1771.275654,791,133,306,479,11,8,25,18,40,28
MENARD,37.32961532,43.77511697,0,0,0,0,0,0,0,0,0,0
MIDLAND,5176.206494,7121.47435,4452,632,1711,2790,13,9,34,25,54,40
MILAM,604.8118976,844.0123676,165,66,96,127,11,8,16,12,21,16
MILLS,112.9090575,158.4513566,45,21,29,37,19,14,26,19,33,24
MITCHELL,161.8274738,179.852372,24,14,14,14,9,8,9,8,9,8
MONTAGUE,430.2982954,561.0516745,233,12,80,149,3,3,19,15,35,27
MONTGOMERY,18226.87074,27594.98625,17376,2283,4815,7347,13,9,27,18,41,27
MOORE,733.6994832,1382.172429,121,5,33,61,1,1,5,3,9,5
MORRIS,307.0120034,470.7119372,187,80,124,167,27,17,41,27,55,36
NACOGDOCHES,1668.339854,2527.498703,1050,211,432,653,13,9,26,18,40,26
NAVARRO,1306.289831,2073.799096,1216,150,421,692,12,8,33,21,53,34
NEWTON,302.013729,387.8333048,0,0,0,0,0,0,0,0,0,0
NOLAN,406.0538042,637.1548488,365,34,101,167,9,6,25,16,42,27
NUECES,10365.88751,14722.23965,6842,1298,2845,4391,13,9,28,20,43,30
OCHILTREE,351.8790578,418.5181491,156,2,40,78,1,1,12,10,23,19
OLDHAM,67.71818182,104.0761132,51,-9999,25,-9999,-9999,-9999,37,25,-9999,-9999
ORANGE,2158.719484,3701.922086,1936,269,714,1158,13,8,34,20,54,32
PALO PINTO,676.5626271,987.2621374,455,64,167,270,10,7,25,17,40,28
PANOLA,560.1842257,733.8271668,370,83,108,132,15,12,20,15,24,18
PARKER,3386.446983,5466.637633,3666,398,1260,2121,12,8,38,24,63,39
PARMER,292.5547956,466.4376139,0,0,0,0,0,0,0,0,0,0
PECOS,387.6715788,476.3600711,164,65,91,118,17,14,24,20,31,25
POLK,972.8082892,1336.564828,689,95,278,461,10,8,29,21,48,35
POTTER,3707.178115,5638.304843,3145,567,1052,1538,16,11,29,19,42,28
PRESIDIO,210.3041844,213.639026,0,0,0,0,0,0,0,0,0,0
RAINS,206.0083984,344.0258054,103,46,56,65,23,14,28,17,32,19
RANDALL,4240.088737,6344.071918,3327,624,1229,1833,15,10,29,20,44,29
REAGAN,95.0376688,118.928726,0,0,0,0,0,0,0,0,0,0
REAL,76.64944231,81.6783594,0,0,0,0,0,0,0,0,0,0
RED RIVER,238.1926668,381.8521163,36,3,15,26,2,1,7,4,11,7
